;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
12;1.2895387013753254;0.004002491633097331;0.3765010121291858;0.42376008583423846;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};1;0.3905514604856648;0.39299709083371104;0.3927435730086619;0.4249218206915313;0.3461798495389221;0.453361345977473;0.07873394591955081;0.0008170214134639464;0.021449027251507505;0.02465729162843161
9;3.7428364753723145;0.008017301559448242;0.37177794386579555;0.4190156491127011;identity;0.001;(400, 100, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100, 50)};2;0.395628957056046;0.4104894418081622;0.3764004885712855;0.4015763374234883;0.3432779235556539;0.4449811681064527;0.8731634432102854;1.215700987241932e-06;0.021619202128323904;0.01871749609152145
3;4.3494265874226885;0.007338682810465495;0.37133233555414785;0.41444745291810065;identity;0.0001;(400, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100)};3;0.3795435358021334;0.37506094101459675;0.37612653612164637;0.39333000762633274;0.35831484793493196;0.4749514101133724;1.4716435721261134;0.0004719326730705818;0.009305665245229204;0.04342799654548104
13;3.748384396235148;0.008006731669108072;0.3659810109629676;0.4126222293340593;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};4;0.35622726902771695;0.36471360318641843;0.383558705026533;0.4199730075150132;0.35814978750367843;0.45318007730074605;1.089404511091182;0.0008179951238476092;0.012456939282659249;0.036488397383775226
10;1.3160991668701172;0.0030017693837483725;0.3608556961766471;0.3900853984319033;identity;0.01;(100,);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100,)};5;0.37910104920327203;0.3821265787190685;0.36538990937796584;0.37374003258346733;0.3380549593481197;0.41438958399317416;0.10777158195702818;8.148972027211882e-06;0.017059827285661213;0.017523386580389377
7;1.0118593374888103;0.0033294359842936196;0.35855519446968637;0.398225346809467;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};6;0.4043000374482213;0.4294403931086257;0.3361532949455214;0.3476270915488082;0.33519055682995;0.4176085557709669;0.33009242153427154;0.00046908015091890164;0.03235638660229653;0.03610296082284007
11;5.223047494888306;0.005672534306844075;0.3579886943792506;0.38771607851842793;identity;0.01;(400,);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400,)};7;0.3977692169895774;0.4039331669689006;0.3456536660791073;0.3657066873901456;0.33051769310409496;0.39350838119623777;1.2193260567741078;0.0004727757396493708;0.02880606750507026;0.01613441483247873
5;1.2837358315785725;0.003006617228190104;0.3570684212843681;0.3872043124531174;identity;0.001;(100,);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,)};8;0.369772074756888;0.381722414962006;0.36843105427006717;0.3764608513053779;0.3329797683889204;0.40342967109196837;0.03790300095385889;6.126115271441703e-06;0.01703414294698433;0.011672409355618318
6;4.302285114924113;0.005676746368408203;0.3565259132765154;0.38571433394055193;identity;0.001;(400,);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400,)};9;0.35572475075701043;0.3513830645120701;0.37703398921368303;0.3938649294396923;0.3368006848835575;0.4118950078698932;0.9766760808745031;0.000474925859848512;0.01643367645530388;0.025367275211422225
8;2.8671658039093018;0.007184505462646484;0.3547962717118993;0.38028985392608483;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};10;0.36961648802172664;0.36264917664356755;0.36245308268834375;0.36763045354183543;0.3322983549950641;0.4105899315928515;0.15540941645649264;0.0006129548315695451;0.01616781332648177;0.021521683791676616
2;1.0498478412628174;0.0030025641123453775;0.3540746407074182;0.3997393471198379;identity;0.0001;(100, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)};11;0.3747397204141158;0.4068449021529985;0.34478028988252085;0.3621528493782339;0.34269334423372033;0.4302202898282814;0.23008222546491694;8.47271633455125e-06;0.014640618566297722;0.028238989554658252
0;1.1822555859883626;0.0030059019724527993;0.34854367446947665;0.37651887989261784;identity;0.0001;(100,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)};12;0.3527485549752819;0.36784678616803745;0.3723163003879403;0.3833097291673773;0.32054016664518536;0.37840012434243886;0.23253919125818398;5.285990762175207e-06;0.021344086474403473;0.006451354486214252
1;5.371419270833333;0.0060087839762369795;0.3458619873941052;0.38751955177247877;identity;0.0001;(400,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400,)};13;0.3536720693923567;0.3784618008367513;0.3504293083712907;0.378743297242359;0.3334730812560516;0.40535355723832606;0.7690938250074678;6.293929377626843e-06;0.00885575336244624;0.012611069827034114
4;4.5145087242126465;0.007104237874348958;0.34287567533897917;0.38723713870396076;identity;0.0001;(400, 100, 50);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100, 50)};14;0.36812489077183325;0.3571185337908519;0.40793003824424123;0.45072608595534036;0.2524881717421844;0.35386679636568985;1.0555302085813765;0.00015487757678903246;0.06591899744199049;0.04491308841445443
14;2.863089402516683;0.007342735926310222;0.31002695563620636;0.3543977670800073;identity;0.01;(400, 100, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100, 50)};15;0.33242127830729573;0.36029145528998685;0.34002582388055647;0.3708125205504961;0.25758507216415394;0.33208932539953906;0.48092535681566245;0.0004689229937347786;0.03719462294309822;0.01634876409624725
