;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;11.839946222955477;9.42518139616091;0.3207831791791018;0.5674669574695145;317.0731024706122;172.63256661561755;0.5663772410497281;0.7533040272489684;17.80654661832586;13.13897129213766;45.30964072154396;38.400364667695065
RidgeCV_pca;11.570958819841564;9.485501467798034;0.36845071139920793;0.5594513452457597;294.82086744810476;175.83175737128053;0.6070014097176447;0.74796480214363;17.170348495243328;13.260156762696305;44.536691301443284;38.770935867468445
Lasso_pca;11.044672146451013;10.239008091213135;0.4168042193075443;0.48311618230581277;272.24840413763525;206.2986438413832;0.645603763393263;0.695065595685625;16.499951640463532;14.363100077677633;43.03193086912916;41.84605547540927
LassoCV_pca;11.050447589283689;10.408461329275164;0.41560844461729685;0.46680610391858457;272.8066176259796;212.8083215233852;0.6446770079794197;0.6832321010597969;16.516858588302426;14.587951244893341;43.13196748177199;42.58679135259621
Ridge_skb;10.703718481317132;10.149849990673955;0.4550210818122793;0.4819863959000589;254.40794614305267;206.7495641359616;0.6745525048595397;0.6942524007160932;15.95017072457385;14.37878868806276;41.61144310186541;41.08988445498038
RidgeCV_skb;10.526329908501758;10.49385001370302;0.46712107921383605;0.44174342561979263;248.7594056499579;222.81133645068303;0.6834625660662301;0.6646378153699898;15.772108471918328;14.92686626357599;40.836797754826534;42.514513436482474
Lasso_skb;10.797570561448143;10.993490517973774;0.42984393923542885;0.3883017490678854;266.16118084436454;244.1409757619899;0.6556248464140364;0.6231386274882061;16.314446997810393;15.625011224379644;42.46031461577346;44.96923816550005
LassoCV_skb;10.476594440417454;10.49116158934121;0.46747879549208426;0.43717484705353304;248.59241595436802;224.63474730286757;0.6837242101111268;0.6611919895563867;15.766813754033121;14.987819964987155;40.486426110917776;42.31313561202678
Ridge_pca_log;0.34900764717031624;0.30300934964334336;0.36916897876368604;0.5360945733480178;0.2044463909000512;0.1557613189606904;0.6075927737915305;0.7321847945348345;0.4521574846223948;0.39466608539459075;11.12344575567454;9.84533437854121
RidgeCV_pca_log;0.34510678642552584;0.30550841408671725;0.3885762844886128;0.5279010970231807;0.1981566659515553;0.1585123682175193;0.6233588729525015;0.7265680264250421;0.44514791468853954;0.3981361177003655;11.015473157440203;9.93661171467896
Lasso_pca_log;0.39694669794587034;0.4078048688978991;0.23522056503137911;0.21220332345819204;0.2478578098576777;0.26451134727306186;0.48499542784585004;0.4606553195809119;0.4978532011122131;0.5143066665648637;12.755600567711387;13.328173186502257
LassoCV_pca_log;0.3408279040495709;0.3318976158566994;0.4162191216298593;0.45140824180310846;0.1891978828582796;0.18419568066793782;0.6451504643335997;0.6718692148053135;0.4349688297548223;0.4291802426346509;10.915987197799717;10.800596262187689
Ridge_skb_log;0.343479126324655;0.33262253198086017;0.4013930037766321;0.44784493117259216;0.19400288797709989;0.185392101170456;0.6335558410879282;0.6692121720146699;0.44045758930582624;0.430571830442327;11.019964899662577;10.838858803608813
RidgeCV_skb_log;0.33781903672875996;0.34523384003275875;0.42737411647326873;0.4104788046963549;0.18558265412115413;0.19793818666550012;0.6537385689044732;0.6406861983033152;0.43079305254513345;0.44490244623456515;10.83508681441881;11.261077988928795
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.3356316978097171;0.3439050325236421;0.43169362426708324;0.4113925837631821;0.18418274233942328;0.1976313753533004;0.6570339597517645;0.6413989271609223;0.4291651690659708;0.4445575051141307;10.760490859766485;11.211751170898422
